DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA,811,29027.76942,6804.199753,5416.273736
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VT,48,20663.10417,8873,7986.916667
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA,618,34717.51294,7684.711974,5974.331715
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI,632,25147.89241,7024.300633,5441.049051
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV,410,17851.02927,6372.3,4956.973171
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WY,61,27339.40984,7474.688525,6062.557377
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AK,32,30394.78125,12511.6875,11507.6875
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AL,699,25163.62518,5684.86123,4573.118741
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AR,345,16164.85507,5835.2,4855.628986
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AZ,371,32435.18598,7097.38814,5973.291105
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CA,2058,45341.34888,9127.672012,7974.415938
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CO,323,29731.31269,7297.424149,5558.950464
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CT,396,27756.38384,8600.896465,7047.085859
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DC,129,30263.8062,9573.651163,8621.217054
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DE,142,19670.14789,8077.112676,6279.014085
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,FL,2870,29160.60732,6120.157143,5081.749129
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,GA,902,23089.8969,6418.263858,5217.689579
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,HI,50,23370.46,9976.82,7137.64
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IA,268,17335.55597,6086.55597,5194.533582
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ID,51,17559.47059,7332.823529,4690.294118
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IL,2073,24446.91269,6724.165943,5622.689822
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IN,856,18910.52453,6187.293224,4949.114486
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KS,252,28681.52381,5888.674603,4864.099206
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KY,606,16686.21122,6109.107261,5127.660066
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,LA,352,24685.17045,5971.099432,5162.917614
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MA,1066,16611.91276,8483.234522,7509.101313
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MD,1187,10747.54339,10119.75569,9052.646167
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ME,181,18099.71823,6996.160221,5795.099448
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MI,1286,16184.92457,6865.670295,5789.001555
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MN,521,20377.90595,7162.982726,5975.234165
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MO,783,21873.10728,6244.445722,5255.698595
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MS,396,21297.82071,5863.010101,4910.598485
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MT,61,16649.78689,6029.163934,5145.557377
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NC,1192,19028.03859,6821.740772,5813.053691
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ND,46,17213.13043,6338.673913,5500.456522
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NE,153,23884.62092,6706.104575,5764.470588
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NH,151,19532.75497,6481.860927,5606.549669
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NJ,1543,50375.81659,7347.303953,6363.077122
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NM,116,18023.88793,6768.741379,5669.068966
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NV,186,42139.77957,6655.77957,5657.494624
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NY,3070,28946.86971,9251.473616,8188.680456
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OH,1459,18870.2488,6082.103496,5135.724469
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OK,382,22682.91885,5917.099476,5057.442408
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OR,152,20855.24342,7438.901316,6147.868421
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,PA,1677,29511.49374,6890.478831,5913.470483
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,RI,76,19592.30263,7147.842105,6221.25
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SC,621,25734.219,6422.003221,5381.727858
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SD,69,23603.81159,6862.130435,5830.376812
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TN,802,21697.19825,5866.25187,4684.607232
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TX,2027,31278.13468,6697.792304,5450.057721
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,UT,54,16336.72222,6468.555556,4720.814815
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VA,895,20750.01453,6345.530726,5301.347486
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VT,47,15519.70213,8841.914894,7267.042553
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WA,332,24798.29518,7446.572289,5782.003012
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WI,634,18489.03785,6482.555205,5484.413249
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WV,249,13472.78313,6111.62249,5158.518072
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WY,33,17804.75758,7942.575758,6550.090909
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AK,76,51986.57895,18838.94737,17901.27632
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AL,1386,43404.37157,10969.50289,9715.92785
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AR,852,30356.48592,10977.13498,9899.353286
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AZ,974,46581.62526,13326.51335,12033.81314
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CA,5901,91966.62481,17286.03915,16252.41247
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CO,546,55836.49634,12272.38095,11182.1978
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CT,855,44945.33918,15596.03158,14415.31579
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DC,285,65907.30175,19314.61053,17889.57544
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DE,315,31529.65714,13821.48889,12815.94921
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,FL,4675,57861.7123,12053.22289,10954.41455
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,GA,1972,41847.67647,12354.74899,11172.1785
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,HI,245,44888.67347,17521.17959,15280.97959
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IA,554,30255.6065,11936.72022,11019.787
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ID,211,28429.54976,12245.81043,10696.62559
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IL,3164,49538.60082,13368.38274,11881.22345
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IN,1633,35924.55603,11874.5989,10701.41947
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KS,578,47098.70415,11456.15917,10400.60035
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KY,1398,39520.64449,12536.5093,11476.14521
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,LA,1069,46475.16838,11921.27596,10890.45276
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MA,1686,33953.14472,16627.71234,15652.73725
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MD,1679,18221.56581,17155.46158,15900.98809
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ME,293,26374.03754,12745.90102,11494.04437
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MI,2813,32432.45254,13305.87949,12242.71952
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MN,953,36947.78699,13652.61595,12277.72613
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MO,1737,40506.95049,12044.44099,10833.29534
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MS,995,40296.01106,11667.95578,10743.44221
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MT,192,28139.5,11837.80729,10542.77083
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NC,2969,34524.484,13036.46952,11918.34591
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ND,227,25469.43612,11857.80617,10939.91189
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NE,315,36272.68571,12162.14603,11025.42857
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NH,283,33991.38516,13557.21201,12056.5689
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NJ,2160,96206.06296,14653.35231,13413.76019
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NM,237,42860.44726,14366.07595,12925.48523
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NV,473,85467.78647,13854.96406,12292.86258
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NY,3709,52148.31006,17597.27689,16312.18334
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OH,2603,43383.16212,12634.49174,11426.96389
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OK,1051,41078.09895,11838.9372,10724.74786
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OR,571,32266.31524,13597.68126,12146.11559
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,PA,3146,58942.59727,13589.17641,12235.90877
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,RI,243,38877.60494,15080.44856,13944.31687
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SC,1297,46221.49268,12603.90748,11561.76561
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SD,175,32272.72,12745.21714,11724.37143
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TN,2205,39356.70113,11374.88798,10233.23855
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TX,5135,59319.56203,12590.4964,11445.46913
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,UT,328,30771.0061,13766.29573,11761.28354
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VA,2159,35309.09356,12190.97638,11029.71561
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VT,145,25846.51034,15747.86207,14859.08276
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WA,1330,42492.98421,13720.10827,12316.80902
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WI,1007,35847.49454,12920.78947,11725.19861
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WV,575,31174.48522,12996.02783,11785.41391
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WY,50,30189.78,15098.62,12996.34
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AK,157,38801.94268,11519.92357,10309.56051
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AL,2462,28379.43258,6560.009748,5426.099513
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AR,1498,19338.71696,6601.20761,5532.200935
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AZ,1573,33349.87095,7852.833439,6650.626828
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CA,8215,56181.69081,9885.103469,8720.611808
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CO,1075,35774.83349,7589.325581,6262.453023
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CT,1328,28859.05271,9252.176958,8020.64759
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,DC,378,41420.99471,11241.28836,9985.203704
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,DE,443,21887.46501,8284.767494,7059.349887
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,FL,7087,38778.06773,7133.910258,5978.134048
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,GA,3337,26745.33114,7258.831885,6110.788133
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,HI,345,31029.13043,10992.91304,8278.950725
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IA,1084,21508.83579,7173.50369,6023.629151
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ID,354,20044.24294,11514.14972,6118.30226
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IL,5521,32370.47781,8117.685564,6602.150154
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IN,2854,23882,7168.046251,5959.830063
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,KS,1020,27819.65784,6974.976471,5741.432353
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,KY,1974,26166.39412,7423.001013,6287.701114
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,LA,1903,26968.732,6998.039411,5815.576984
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MA,2347,21705.61014,9951.331487,8925.221133
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MD,2834,11046.08963,10402.80875,9351.4012
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ME,526,16772.42586,7587.505703,6482.830798
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MI,4120,20885.62791,8079.263107,6944.818447
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MN,1646,24972.08323,8087.04435,6821.433779
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MO,2647,25890.27767,7195.383831,6122.771817
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MS,1694,26691.65053,6876.355962,5845.678867
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MT,328,17209.4878,6975.588415,5863.460366
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NC,4434,22045.13622,7651.962336,6568.303563
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ND,317,16816.64984,7357.347003,6238.479495
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NE,628,25616.84236,7303.878981,6184.812102
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NH,472,24183.86441,7835.101695,6671.815678
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NJ,3570,61546.46106,8572.168908,7475.662745
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NM,426,26367.53756,8302.568075,7186.629108
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NV,702,47171.97151,7979.698006,6685.156695
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NY,5284,34663.02157,10443.98997,9166.173921
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OH,3912,26535.81595,7265.998211,6161.31774
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OK,1538,24800.43628,7115.089727,5922.903771
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OR,897,21539.81048,8179.620959,6907.494983
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,PA,4965,36536.6715,8805.433837,6841.861833
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,RI,294,24626.68027,8307.996599,7158.945578
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,SC,2061,30229.95924,7472.176128,6188.504609
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,SD,366,22669.68033,7875.081967,6550.983607
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,TN,3062,25468.47747,6877.212606,5678.268779
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,TX,8167,37832.44043,7555.28309,6356.740174
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,UT,458,19390.64847,7514.144105,6194.253275
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,VA,3349,24770.60137,7210.864736,6058.486115
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,VT,189,21965.26984,9769.719577,8687.412698
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WA,1920,28100.27292,8088.761458,6768.567188
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WI,1824,23351.94134,7488.199561,6296.571272
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WV,896,18965.21763,7414.513393,6246.264509
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WY,105,20749.04762,9003,8123.371429
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AK,88,27556.73864,8182.431818,6927.227273
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AL,1473,21942.6239,4745.266802,3562.215886
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AR,937,15747.1953,4772.690502,3710.73746
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AZ,925,26868.56757,5694.713514,4349.298378
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CA,4276,42820.88494,7040.684284,5804.025023
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CO,629,27190.74245,5398.254372,4247.538951
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CT,766,21915.61749,6683.225849,5343.035248
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DC,229,28056.61572,7664.052402,6175.048035
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DE,303,16725.69307,5896.039604,4542.033003
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,FL,4395,30488.8785,5178.188851,3935.318999
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,GA,1680,20677.5375,5285.778571,4010.603571
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,HI,219,22759.60274,7998.598174,5790.484018
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IA,652,17066.75307,5355.961656,4046.309816
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ID,191,15182.8377,5498.120419,4010.900524
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IL,2811,25382.35041,5914.414443,4334.266809
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IN,1627,19028.85556,5116.315304,3906.939766
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KS,574,21563.81882,5190.632404,3748.236934
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KY,1249,19903.06405,5174.980785,3985.929544
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,LA,1091,19086.52062,5101.575619,3944.129239
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MA,1475,17688.75864,7104.175593,5797.896949
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MD,1457,8254.294441,7785.805079,6645.234729
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ME,324,14302.09259,5451.404321,4416.925926
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MI,2101,16165.7663,5663.925274,4532.299381
